"Code","Description","Name"
"8762007","Chronic hypertension in obstetric context","hypertension_pregnancy"
"67359005","Pre-eclampsia added to pre-existing hypertension","hypertension_pregnancy"
"86041002","Pre-existing hypertension in obstetric context","hypertension_pregnancy"
"198942000","Benign essential hypertension complicating pregnancy, childbirth and the puerperium","hypertension_pregnancy"
"198944004","Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered","hypertension_pregnancy"
"198945003","Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication","hypertension_pregnancy"
"198946002","Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered","hypertension_pregnancy"
"198947006","Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication","hypertension_pregnancy"
"198949009","Renal hypertension complicating pregnancy, childbirth and the puerperium","hypertension_pregnancy"
"198951008","Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered","hypertension_pregnancy"
"198952001","Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication","hypertension_pregnancy"
"198953006","Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered","hypertension_pregnancy"
"198954000","Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication","hypertension_pregnancy"
"198997005","Pre-eclampsia or eclampsia with pre-existing hypertension","hypertension_pregnancy"
"198999008","Pre-eclampsia or eclampsia with pre-existing hypertension - delivered","hypertension_pregnancy"
"199000005","Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication","hypertension_pregnancy"
"199002002","Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered","hypertension_pregnancy"
"199003007","Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication","hypertension_pregnancy"
"199005000","Pre-existing hypertension complicating pregnancy, childbirth and puerperium","hypertension_pregnancy"
"199006004","Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium","hypertension_pregnancy"
"199007008","Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium","hypertension_pregnancy"
"199008003","Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium","hypertension_pregnancy"
