"Code","Description","Name"
"276367008","Wanted***REMOVED***pregnancy***REMOVED***(finding)","pregnancy_and_birth"
"65147003","Twin***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"199227004","Diabetes***REMOVED***mellitus***REMOVED***during***REMOVED***pregnancy***REMOVED***-***REMOVED***baby***REMOVED***not***REMOVED***yet***REMOVED***delivered***REMOVED***(disorder)","pregnancy_and_birth"
"134781000119106","High***REMOVED***risk***REMOVED***pregnancy***REMOVED***due***REMOVED***to***REMOVED***recurrent***REMOVED***miscarriage***REMOVED***(finding)","pregnancy_and_birth"
"10753491000119101","Gestational***REMOVED***diabetes***REMOVED***mellitus***REMOVED***in***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"10742121000119104","Asthma***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"459171002","Monochorionic***REMOVED***monoamniotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"459168005","Monochorionic***REMOVED***diamniotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"237227006","Congenital***REMOVED***heart***REMOVED***disease***REMOVED***in***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"169564004","Pregnant***REMOVED***-***REMOVED***on***REMOVED***abdominal***REMOVED***palpation***REMOVED***(finding)","pregnancy_and_birth"
"80997009","Quintuplet***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"64254006","Triplet***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"526961000000105","Pregnancy***REMOVED***advice***REMOVED***for***REMOVED***patients***REMOVED***with***REMOVED***epilepsy***REMOVED***(procedure)","pregnancy_and_birth"
"866641000000105","Pertussis***REMOVED***vaccination***REMOVED***in***REMOVED***pregnancy***REMOVED***declined***REMOVED***(situation)","pregnancy_and_birth"
"169562000","Pregnant***REMOVED***-***REMOVED***vaginal***REMOVED***examination***REMOVED***confirms***REMOVED***(finding)","pregnancy_and_birth"
"459166009","Dichorionic***REMOVED***diamniotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"10231000132102","In-vitro***REMOVED***fertilization***REMOVED***pregnancy***REMOVED***(finding)","pregnancy_and_birth"
"198947006","Benign***REMOVED***essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***with***REMOVED***postnatal***REMOVED***complication***REMOVED***(disorder)","pregnancy_and_birth"
"198954000","Renal***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***with***REMOVED***postnatal***REMOVED***complication***REMOVED***(disorder)","pregnancy_and_birth"
"198944004","Benign***REMOVED***essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***-***REMOVED***delivered***REMOVED***(disorder)","pregnancy_and_birth"
"199006004","Pre-existing***REMOVED***hypertensive***REMOVED***heart***REMOVED***disease***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"118781000119108","Pre-existing***REMOVED***hypertensive***REMOVED***chronic***REMOVED***kidney***REMOVED***disease***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"10562009","Malignant***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"78808002","Essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"8218002","Chronic***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"198949009","Renal***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"10755671000119100","Human***REMOVED***immunodeficiency***REMOVED***virus***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"10745291000119103","Malignant***REMOVED***neoplastic***REMOVED***disease***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"106281000119103","Pre-existing***REMOVED***diabetes***REMOVED***mellitus***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"10746341000119109","Acquired***REMOVED***immune***REMOVED***deficiency***REMOVED***syndrome***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"10759351000119103","Sickle***REMOVED***cell***REMOVED***anemia***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"527131000000100","Pregnancy***REMOVED***advice***REMOVED***for***REMOVED***patients***REMOVED***with***REMOVED***epilepsy***REMOVED***declined***REMOVED***(situation)","pregnancy_and_birth"
"444661007","High***REMOVED***risk***REMOVED***pregnancy***REMOVED***due***REMOVED***to***REMOVED***history***REMOVED***of***REMOVED***preterm***REMOVED***labor***REMOVED***(finding)","pregnancy_and_birth"
"198946002","Benign***REMOVED***essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***-***REMOVED***not***REMOVED***delivered***REMOVED***(disorder)","pregnancy_and_birth"
"22966008","Hypertensive***REMOVED***heart***REMOVED***AND***REMOVED***renal***REMOVED***disease***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"198951008","Renal***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***-***REMOVED***delivered***REMOVED***(disorder)","pregnancy_and_birth"
"199008003","Pre-existing***REMOVED***secondary***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"198942000","Benign***REMOVED***essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"71874008","Benign***REMOVED***essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"20753005","Hypertensive***REMOVED***heart***REMOVED***disease***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"88144003","Removal***REMOVED***of***REMOVED***ectopic***REMOVED***interstitial***REMOVED***uterine***REMOVED***pregnancy***REMOVED***requiring***REMOVED***total***REMOVED***hysterectomy***REMOVED***(procedure)","pregnancy_and_birth"
"65402008","Pre-existing***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"18416000","Essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"199005000","Pre-existing***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"199223000","Diabetes***REMOVED***mellitus***REMOVED***during***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"10754881000119104","Diabetes***REMOVED***mellitus***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"199225007","Diabetes***REMOVED***mellitus***REMOVED***during***REMOVED***pregnancy***REMOVED***-***REMOVED***baby***REMOVED***delivered***REMOVED***(disorder)","pregnancy_and_birth"
"609567009","Pre-existing***REMOVED***type***REMOVED***2***REMOVED***diabetes***REMOVED***mellitus***REMOVED***in***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"169560008","Pregnant***REMOVED***-***REMOVED***urine***REMOVED***test***REMOVED***confirms***REMOVED***(finding)","pregnancy_and_birth"
"439311009","Intends***REMOVED***to***REMOVED***continue***REMOVED***pregnancy***REMOVED***(finding)","pregnancy_and_birth"
"171055003","Pregnancy***REMOVED***smoking***REMOVED***education***REMOVED***(procedure)","pregnancy_and_birth"
"171054004","Pregnancy***REMOVED***diet***REMOVED***education***REMOVED***(procedure)","pregnancy_and_birth"
"199007008","Pre-existing***REMOVED***hypertensive***REMOVED***heart***REMOVED***and***REMOVED***renal***REMOVED***disease***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"48552006","Hypertension***REMOVED***secondary***REMOVED***to***REMOVED***renal***REMOVED***disease***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"1474004","Hypertensive***REMOVED***heart***REMOVED***AND***REMOVED***renal***REMOVED***disease***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"198953006","Renal***REMOVED***hypertension***REMOVED***complicating***REMOVED***pregnancy,***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***-***REMOVED***not***REMOVED***delivered***REMOVED***(disorder)","pregnancy_and_birth"
"23717007","Benign***REMOVED***essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"721166000","Human***REMOVED***immunodeficiency***REMOVED***virus***REMOVED***complicating***REMOVED***pregnancy***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)","pregnancy_and_birth"
"10757441000119102","Pre-existing***REMOVED***hypertensive***REMOVED***heart***REMOVED***disease***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"34694006","Pre-existing***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"956971000000108","Pertussis***REMOVED***vaccination***REMOVED***in***REMOVED***pregnancy***REMOVED***given***REMOVED***by***REMOVED***other***REMOVED***healthcare***REMOVED***provider***REMOVED***(finding)","pregnancy_and_birth"
"91923005","Acquired***REMOVED***immunodeficiency***REMOVED***syndrome***REMOVED***virus***REMOVED***infection***REMOVED***associated***REMOVED***with***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"1109951000000101","Pregnancy***REMOVED***insufficiently***REMOVED***advanced***REMOVED***for***REMOVED***reliable***REMOVED***antenatal***REMOVED***screening***REMOVED***(finding)","pregnancy_and_birth"
"10752641000119102","Eclampsia***REMOVED***with***REMOVED***pre-existing***REMOVED***hypertension***REMOVED***in***REMOVED***childbirth***REMOVED***(disorder)","pregnancy_and_birth"
"1109971000000105","Pregnancy***REMOVED***too***REMOVED***advanced***REMOVED***for***REMOVED***reliable***REMOVED***antenatal***REMOVED***screening***REMOVED***(finding)","pregnancy_and_birth"
"40801000119106","Gestational***REMOVED***diabetes***REMOVED***mellitus***REMOVED***complicating***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
"609564002","Pre-existing***REMOVED***type***REMOVED***1***REMOVED***diabetes***REMOVED***mellitus***REMOVED***in***REMOVED***pregnancy***REMOVED***(disorder)","pregnancy_and_birth"
