"Code","Description","Name"
"385377005","Gleason grade finding for prostatic cancer (finding)","prostate_cancer"
"176106009","Radical cystoprostatourethrectomy","prostate_cancer"
"428262008","History of malignant neoplasm of prostate (situation)","prostate_cancer"
"176263006","Radical prostatectomy with pelvic lymphadenectomy","prostate_cancer"
"126906006","Neoplasm of prostate","prostate_cancer"
"81232004","Radical cystoprostatectomy","prostate_cancer"
"176262001","Radical prostatectomy with pelvic node sampling","prostate_cancer"
"399068003","Malignant tumor of prostate (disorder)","prostate_cancer"
"369777009","Gleason Score 8-10: Poorly differentiated","prostate_cancer"
"369775001","Gleason Score 2-4: Well differentiated","prostate_cancer"
"176261008","Radical prostatectomy without pelvic node excision","prostate_cancer"
"394932008","Gleason prostate grade 5-7 (medium) (finding)","prostate_cancer"
