"Code","Description","Name"
"0209000Y0AAAAAA","Prasugrel 5mg tablets","antiplatelet"
"0209000A0BCAAAJ","Angettes 75 tablets","antiplatelet"
"0209000Y0BBABAB","Efient 10mg tablets","antiplatelet"
"0209000C0AAAJAJ","Clopidogrel 75mg/5ml oral solution","antiplatelet"
"0209000L0AAAQAQ","Dipyridamole 25mg/5ml oral liquid","antiplatelet"
"0209000A0BQAAAB","Danamep 75mg dispersible tablets","antiplatelet"
"0209000C0AAADAD","Clopidogrel 25mg/5ml oral suspension","antiplatelet"
"0209000C0AAAKAK","Clopidogrel 75mg/5ml oral suspension","antiplatelet"
"0209000C0AAAIAI","Clopidogrel 4mg oral powder sachets","antiplatelet"
"0209000Z0AAACAC","Ticagrelor 90mg orodispersible tablets sugar free","antiplatelet"
"0209000A0BPAAAK","Boots Aspirin 75mg gastro-resistant tablets","antiplatelet"
"0209000C0BBABAE","Plavix 300mg tablets","antiplatelet"
"0209000A0AABIBI","Aspirin 37.5mg/5ml oral liquid","antiplatelet"
"0209000A0AABBBB","Aspirin 40mg/5ml oral liquid","antiplatelet"
"0209000L0AAAHAH","Dipyridamole 100mg/5ml oral liquid","antiplatelet"
"0209000A0BRAAAB","Mandaprin 75mg dispersible tablets","antiplatelet"
"0209000A0AAA7A7","Aspirin 75mg effervescent tablets","antiplatelet"
"0209000C0AAASAS","Clopidogrel 5mg/5ml oral solution","antiplatelet"
"0209000A0AAABAB","Aspirin 75mg dispersible tablets","antiplatelet"
"0209000Z0AAAAAA","Ticagrelor 90mg tablets","antiplatelet"
"0209000A0BNAAAB","Pure Health Aspirin 75mg dispersible tablets","antiplatelet"
"0209000L0AAAMAM","Dipyridamole 200mg modified-release capsules","antiplatelet"
"0209000A0BLAAAK","Micropirin 75mg gastro-resistant tablets","antiplatelet"
"0209000A0AABABA","Aspirin 25mg/5ml oral liquid","antiplatelet"
"0209000V0AAAAAA","Dipyridamole 200mg modified-release / Aspirin 25mg capsules","antiplatelet"
"0209000L0BBAGAM","Persantin Retard 200mg capsules (Consilient Health)","antiplatelet"
"0209000L0BIAAAM","Trolactin 200mg modified-release capsules","antiplatelet"
"0209000L0AAANAN","Dipyridamole 200mg/5ml oral solution","antiplatelet"
"0209000L0AAALAL","Dipyridamole 50mg/5ml oral solution","antiplatelet"
"0209000C0AAAEAE","Clopidogrel 300mg tablets","antiplatelet"
"0209000L0BGAAAM","Attia 200mg modified-release capsules","antiplatelet"
"0209000A0BFAAAK","Nu-Seals 75 gastro-resistant tablets","antiplatelet"
"0209000C0AAALAL","Clopidogrel 1mg/ml oral suspension","antiplatelet"
"0209000A0AAAKAK","Aspirin 75mg gastro-resistant tablets","antiplatelet"
"0209000Z0BBACAC","Brilique 90mg orodispersible tablets","antiplatelet"
"0209000L0AAACAC","Dipyridamole 100mg tablets","antiplatelet"
"0209000L0BHAAAM","Ofcram PR 200mg capsules","antiplatelet"
"0209000C0AAAAAA","Clopidogrel 75mg tablets","antiplatelet"
"0209000Z0AAABAB","Ticagrelor 60mg tablets","antiplatelet"
"0209000Y0AAABAB","Prasugrel 10mg tablets","antiplatelet"
"0209000Z0BBABAB","Brilique 60mg tablets","antiplatelet"
"0209000A0AAAJAJ","Aspirin 75mg tablets","antiplatelet"
"0209000Y0BCABAB","Prafsia 10mg tablets","antiplatelet"
"0209000C0BBAAAA","Plavix 75mg tablets","antiplatelet"
"0209000L0AAAYAY","Dipyridamole 200mg/5ml oral suspension sugar free","antiplatelet"
"0209000L0AAABAB","Dipyridamole 25mg tablets","antiplatelet"
"0209000V0BBAAAA","Asasantin Retard capsules","antiplatelet"
"0209000U0AAABAB","Ticlopidine 250mg tablets","antiplatelet"
"0209000C0BDAAAA","Grepid 75mg tablets","antiplatelet"
"0209000A0AABGBG","Aspirin 75mg/5ml oral liquid","antiplatelet"
"0209000Y0BBAAAA","Efient 5mg tablets","antiplatelet"
"0209000A0AABFBF","Aspirin 30mg/5ml oral liquid","antiplatelet"
"0209000Z0BBAAAA","Brilique 90mg tablets","antiplatelet"
"0209000L0BBABAC","Persantin 100mg tablets","antiplatelet"
"0209000L0BBAFAM","Persantin Retard 200mg capsules (Boehringer Ingelheim)","antiplatelet"
"0209000L0AAAKAK","Dipyridamole 50mg/5ml oral suspension sugar free","antiplatelet"
"0209000V0BCAAAA","Molita 200mg/25mg modified-release capsules","antiplatelet"
