"Code","Description","Name"
"N181","Chronic kidney disease, stage 1","CKD"
"N182","Chronic kidney disease, stage 2","CKD"
"N00","Acute nephritic syndrome","CKD"
"N10","Acute tubulo-interstitial nephritis","CKD"
"N17","Acute renal failure","CKD"
"N01","Rapidly progressive nephritic syndrome","CKD"
"N03","Chronic nephritic syndrome","CKD"
"N052","Unspecified nephritic syndrome ;  Diffuse membranous glomerulonephritis","CKD"
"N053","Unspecified nephritic syndrome ;  Diffuse mesangial proliferative glomerulonephritis","CKD"
"N054","Unspecified nephritic syndrome ;  Diffuse endocapillary proliferative glomerulonephritis","CKD"
"N055","Unspecified nephritic syndrome ;  Diffuse mesangiocapillary glomerulonephritis","CKD"
"N056","Unspecified nephritic syndrome ;  Dense deposit disease","CKD"
"N072","Hereditary nephropathy, not elsewhere classified ;  Diffuse membranous glomerulonephritis","CKD"
"N073","Hereditary nephropathy, not elsewhere classified ;  Diffuse mesangial proliferative glomerulonephritis","CKD"
"N074","Hereditary nephropathy, not elsewhere classified ;  Diffuse endocapillary proliferative glomerulonephritis","CKD"
"N183","Chronic kidney disease, stage 3","CKD"
"N184","Chronic kidney disease, stage 4","CKD"
"N185","Chronic kidney disease, stage 5","CKD"
"N189","Chronic kidney disease, unspecified","CKD"
"N19","Unspecified kidney failure","CKD"
"N25","Disorders resulting from impaired renal tubular function","CKD"
"Y841","Kidney dialysis","CKD"
"Z49","Care involving dialysis","CKD"
"Z992","Dependence on renal dialysis","CKD"
"T861","Kidney transplant failure and rejection","CKD"
"Z940","Kidney transplant status","CKD"
