"Code","Description","Name"
"C00","C00 Malignant neoplasm of lip","cancer"
"C01","C01 Malignant neoplasm of base of tongue","cancer"
"C02","C02 Malignant neoplasm of other and unspecified parts of tongue","cancer"
"C03","C03 Malignant neoplasm of gum","cancer"
"C04","C04 Malignant neoplasm of floor of mouth","cancer"
"C05","C05 Malignant neoplasm of palate","cancer"
"C06","C06 Malignant neoplasm of other and unspecified parts of mouth","cancer"
"C07","C07 Malignant neoplasm of parotid gland","cancer"
"C08","C08 Malignant neoplasm of other and unspecified major salivary glands","cancer"
"C09","C09 Malignant neoplasm of tonsil","cancer"
"C10","C10 Malignant neoplasm of oropharynx","cancer"
"C11","C11 Malignant neoplasm of nasopharynx","cancer"
"C12","C12 Malignant neoplasm of pyriform sinus","cancer"
"C13","C13 Malignant neoplasm of hypopharynx","cancer"
"C14","C14 Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","cancer"
"C15","C15 Malignant neoplasm of oesophagus","cancer"
"C16","C16 Malignant neoplasm of stomach","cancer"
"C17","C17 Malignant neoplasm of small intestine","cancer"
"C18","C18 Malignant neoplasm of colon","cancer"
"C19","C19 Malignant neoplasm of rectosigmoid junction","cancer"
"C20","C20 Malignant neoplasm of rectum","cancer"
"C21","C21 Malignant neoplasm of anus and anal canal","cancer"
"C22","C22 Malignant neoplasm of liver and intrahepatic bile ducts","cancer"
"C23","C23 Malignant neoplasm of gallbladder","cancer"
"C24","C24 Malignant neoplasm of other and unspecified parts of biliary tract","cancer"
"C25","C25 Malignant neoplasm of pancreas","cancer"
"C26","C26 Malignant neoplasm of other and ill-defined digestive organs","cancer"
"C30","C30 Malignant neoplasm of nasal cavity and middle ear","cancer"
"C31","C31 Malignant neoplasm of accessory sinuses","cancer"
"C32","C32 Malignant neoplasm of larynx","cancer"
"C33","C33 Malignant neoplasm of trachea","cancer"
"C34","C34 Malignant neoplasm of bronchus and lung","cancer"
"C37","C37 Malignant neoplasm of thymus","cancer"
"C38","C38 Malignant neoplasm of heart, mediastinum and pleura","cancer"
"C39","C39 Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs","cancer"
"C40","C40 Malignant neoplasm of bone and articular cartilage of limbs","cancer"
"C41","C41 Malignant neoplasm of bone and articular cartilage of other and unspecified sites","cancer"
"C42","C42 hematopoietic and reticuloendothelial systems (ICD-O-3 specific)","cancer"
"C43","C43 Malignant melanoma of skin","cancer"
"C44","C44 Other malignant neoplasms of skin","cancer"
"C45","C45 Mesothelioma","cancer"
"C46","C46 Kaposi's sarcoma","cancer"
"C47","C47 Malignant neoplasm of peripheral nerves and autonomic nervous system","cancer"
"C48","C48 Malignant neoplasm of retroperitoneum and peritoneum","cancer"
"C49","C49 Malignant neoplasm of other connective and soft tissue","cancer"
"C50","C50 Malignant neoplasm of breast","cancer"
"C51","C51 Malignant neoplasm of vulva","cancer"
"C52","C52 Malignant neoplasm of vagina","cancer"
"C53","C53 Malignant neoplasm of cervix uteri","cancer"
"C54","C54 Malignant neoplasm of corpus uteri","cancer"
"C55","C55 Malignant neoplasm of uterus, part unspecified","cancer"
"C56","C56 Malignant neoplasm of ovary","cancer"
"C57","C57 Malignant neoplasm of other and unspecified female genital organs","cancer"
"C58","C58 Malignant neoplasm of placenta","cancer"
"C60","C60 Malignant neoplasm of penis","cancer"
"C61","C61 Malignant neoplasm of prostate","cancer"
"C62","C62 Malignant neoplasm of testis","cancer"
"C63","C63 Malignant neoplasm of other and unspecified male genital organs","cancer"
"C64","C64 Malignant neoplasm of kidney, except renal pelvis","cancer"
"C65","C65 Malignant neoplasm of renal pelvis","cancer"
"C66","C66 Malignant neoplasm of ureter","cancer"
"C67","C67 Malignant neoplasm of bladder","cancer"
"C68","C68 Malignant neoplasm of other and unspecified urinary organs","cancer"
"C69","C69 Malignant neoplasm of eye and adnexa","cancer"
"C70","C70 Malignant neoplasm of meninges","cancer"
"C71","C71 Malignant neoplasm of brain","cancer"
"C72","C72 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system","cancer"
"C73","C73 Malignant neoplasm of thyroid gland","cancer"
"C74","C74 Malignant neoplasm of adrenal gland","cancer"
"C75","C75 Malignant neoplasm of other endocrine glands and related structures","cancer"
