"Code","Description","Name"
"H360","Diabetic retinopathy","diabetes"
"O243","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified","diabetes"
"O242","Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus","diabetes"
"O241","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent","diabetes"
"H280","Diabetic cataract","diabetes"
"G590","Diabetic mononeuropathy","diabetes"
"E10","Insulin-dependent diabetes mellitus","diabetes"
"E13","Other specified diabetes mellitus","diabetes"
"N083","Glomerular disorders in diabetes mellitus","diabetes"
"G632","Diabetic polyneuropathy","diabetes"
"M142","Diabetic arthropathy","diabetes"
"E12","Malnutrition-related diabetes mellitus","diabetes"
"E14","Unspecified diabetes mellitus","diabetes"
"E11","Non-insulin-dependent diabetes mellitus","diabetes"
"O240","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent","diabetes"
