"Code","Description","Name"
"S723","Upper leg fracture","fracture"
"S826","Lower leg fracture","fracture"
"S820","Lower leg fracture","fracture"
"S822","Lower leg fracture","fracture"
"S720","Upper leg fracture","fracture"
"S729","Upper leg fracture","fracture"
"S727","Upper leg fracture","fracture"
"S821","Lower leg fracture","fracture"
"S829","Lower leg fracture","fracture"
"S824","Lower leg fracture","fracture"
"S922","Foot fracture","fracture"
"S921","Foot fracture","fracture"
"S927","Foot fracture","fracture"
"S828","Lower leg fracture","fracture"
"S724","Upper leg fracture","fracture"
"S721","Upper leg fracture","fracture"
"T023","Fractures involving multiple regions of both lower limbs","fracture"
"T025","Fractures involving multiple regions of both lower limbs","fracture"
"T12","Fracture of lower limb","fracture"
"S823","Lower leg fracture","fracture"
"S825","Lower leg fracture","fracture"
"S827","Lower leg fracture","fracture"
"S923","Foot fracture","fracture"
"S920","Foot fracture","fracture"
"S728","Upper leg fracture","fracture"
"S929","Foot fracture","fracture"
