"Code","Description","Name"
"K70.1","Alcoholic hepatitis","liver_disease"
"K70.2","Alcoholic fibrosis and sclerosis of liver","liver_disease"
"K70.3","Alcoholic cirrhosis of liver","liver_disease"
"K71.7","Toxic liver disease with fibrosis and cirrhosis of liver","liver_disease"
"K74.0","Hepatic fibrosis","liver_disease"
"K74.1","Hepatic sclerosis","liver_disease"
"K74.2","Hepatic fibrosis with hepatic sclerosis","liver_disease"
"K74.4","Secondary biliary cirrhosis","liver_disease"
"K74.5","Biliary cirrhosis, unspecified","liver_disease"
"K74.6","Other and unspecified cirrhosis of liver","liver_disease"
