"Code","Description","Name"
"I63.5","Cerebral infarction","stroke_isch"
"I63.0","Cerebral infarction","stroke_isch"
"I64","Stroke, not specified as haemorrhage or infarction","stroke_isch"
"I63.1","Cerebral infarction","stroke_isch"
"I63.4","Cerebral infarction","stroke_isch"
"I63.2","Cerebral infarction","stroke_isch"
"I63.9","Cerebral infarction","stroke_isch"
"H34","Retinal vascular occlusions","stroke_isch"
"I63.8","Cerebral infarction","stroke_isch"
"I63.3","Cerebral infarction","stroke_isch"
"G95.1","Avascular myelopathies (arterial or venous)","stroke_isch"
