"Code","Description","Name"
"1755008","Old myocardial infarction","AMI"
"10273003","Acute infarction of papillary muscle","AMI"
"15990001","Acute myocardial infarction of posterolateral wall","AMI"
"22298006","Myocardial infarction","AMI"
"42531007","Microinfarct of heart","AMI"
"52035003","Acute anteroapical myocardial infarction","AMI"
"54329005","Acute myocardial infarction of anterior wall","AMI"
"57054005","Acute myocardial infarction","AMI"
"58612006","Acute myocardial infarction of lateral wall","AMI"
"62695002","Acute anteroseptal myocardial infarction","AMI"
"65547006","Acute myocardial infarction of inferolateral wall","AMI"
"66189004","Postmyocardial infarction syndrome","AMI"
"70211005","Acute myocardial infarction of anterolateral wall","AMI"
"70422006","Acute subendocardial infarction","AMI"
"73795002","Acute myocardial infarction of inferior wall","AMI"
"76593002","Acute myocardial infarction of inferoposterior wall","AMI"
"79009004","Acute myocardial infarction of septum","AMI"
"129574000","Postoperative myocardial infarction","AMI"
"161502000","H/O: myocardial infarct at less than 60","AMI"
"161503005","H/O: myocardial infarct at greater than 60","AMI"
"194802003","True posterior myocardial infarction","AMI"
"194809007","Acute atrial infarction","AMI"
"194856005","Subsequent myocardial infarction","AMI"
"194857001","Subsequent myocardial infarction of anterior wall","AMI"
"194858006","Subsequent myocardial infarction of inferior wall","AMI"
"194862000","Haemopericardium as current complication following acute myocardial infarction","AMI"
"194863005","Atrial septal defect as current complication following acute myocardial infarction","AMI"
"194865003","Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction","AMI"
"194866002","Rupture of chordae tendinae as current complication following acute myocardial infarction","AMI"
"194867006","Rupture of papillary muscle as current complication following acute myocardial infarction","AMI"
"194868001","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction","AMI"
"233838001","Acute posterior myocardial infarction","AMI"
"233843008","Silent myocardial infarction","AMI"
"233846000","Ventricular septal defect as current complication following acute myocardial infarction","AMI"
"233847009","Cardiac rupture after acute myocardial infarction","AMI"
"304914007","Acute Q wave myocardial infarction","AMI"
"307140009","Acute non-Q wave infarction","AMI"
"308065005","H/O: Myocardial infarction in last year","AMI"
"311792005","Postoperative transmural myocardial infarction of anterior wall","AMI"
"311793000","Postoperative transmural myocardial infarction of inferior wall","AMI"
"311796008","Postoperative subendocardial myocardial infarction","AMI"
"314116003","Post infarct angina","AMI"
"315287002","Diabetes mellitus insulin-glucose infusion in acute myocardial infarction","AMI"
"371068009","Myocardial infarction with complication (disorder)","AMI"
"398274000","Coronary artery thrombosis (disorder)","AMI"
"399211009","History of - myocardial infarction (context-dependent category)","AMI"
"401303003","Acute ST segment elevation myocardial infarction (disorder)","AMI"
"401314000","Acute non-ST segment elevation myocardial infarction (disorder)","AMI"
"428752002","Recent myocardial infarction (situation)","AMI"
"698593009","History of non-ST segment elevation myocardial infarction (situation)","AMI"
"15712881000119105","Acute ST segment elevation myocardial infarction of anterolateral wall (disorder)","AMI"
"15712921000119103","Acute ST segment elevation myocardial infarction of lateral wall (disorder)","AMI"
"233825009","Acute Q wave infarction - anteroseptal (disorder)","AMI"
"233826005","Acute non-Q wave infarction - anteroseptal (disorder)","AMI"
"233832000","Acute non-Q wave infarction - inferolateral (disorder)","AMI"
"285991000119100","Acute ST segment elevation myocardial infarction involving left main coronary artery (disorder)","AMI"
"394659003","Acute coronary syndrome (disorder)","AMI"
"394710008","First myocardial infarction (disorder)","AMI"
"428196007","Mixed myocardial ischemia and infarction (disorder)","AMI"
"703213009","Acute ST segment elevation myocardial infarction of inferior wall (disorder)","AMI"
"1089471000000109","Acute transmural myocardial infarction (disorder)","AMI"
"12238151000119107","Acute ST segment elevation myocardial infarction of inferoposterior wall (disorder)","AMI"
"233827001","Acute Q wave infarction - anterolateral (disorder)","AMI"
"233828006","Acute non-Q wave infarction - anterolateral (disorder)","AMI"
"233829003","Acute Q wave infarction - inferior (disorder)","AMI"
"233830008","Acute non-Q wave infarction - inferior (disorder)","AMI"
"233831007","Acute Q wave infarction - inferolateral (disorder)","AMI"
"233833005","Acute Q wave infarction - lateral (disorder)","AMI"
"233834004","Acute non-Q wave infarction - lateral (disorder)","AMI"
"233835003","Acute widespread myocardial infarction (disorder)","AMI"
"314207007","Non-Q wave myocardial infarction (disorder)","AMI"
"703164000","Acute ST segment elevation myocardial infarction of anterior wall (disorder)","AMI"
"703209002","Subsequent ST segment elevation myocardial infarction of inferior wall (disorder)","AMI"
"703211006","Subsequent ST segment elevation myocardial infarction (disorder)","AMI"
"703360004","Subsequent non-ST segment elevation myocardial infarction (disorder)","AMI"
