"Code","Description","Name"
"196027008","Toxic bronchiolitis obliterans (disorder)","COPD"
"32544004","Chronic obliterative bronchiolitis caused by inhalation of chemical fumes AND/OR vapors (disorder)","COPD"
"40100001","Obliterative bronchiolitis (disorder)","COPD"
"77690003","Interstitial emphysema of lung (disorder)","COPD"
"135836000","End stage chronic obstructive airways disease (disorder)","COPD"
"13645005","Chronic obstructive lung disease (disorder)","COPD"
"185086009","Chronic obstructive bronchitis (disorder)","COPD"
"195949008","Chronic asthmatic bronchitis (disorder)","COPD"
"195959009","Zonal bullous emphysema (disorder)","COPD"
"196026004","Chronic emphysema caused by chemical fumes (disorder)","COPD"
"233672007","Byssinosis grade 3 (disorder)","COPD"
"233674008","Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder)","COPD"
"266355005","Bullous emphysema with collapse (disorder)","COPD"
"266356006","Atrophic (senile) emphysema (disorder)","COPD"
"293991000000106","Very severe chronic obstructive pulmonary disease (disorder)","COPD"
"313297008","Moderate chronic obstructive pulmonary disease (disorder)","COPD"
"360470001","Chronic mucus hypersecretion (disorder)","COPD"
"45145000","Unilateral emphysema (situation)","COPD"
"61937009","Simple chronic bronchitis (disorder)","COPD"
"68328006","Centriacinar emphysema (disorder)","COPD"
"74417001","Mucopurulent chronic bronchitis (disorder)","COPD"
"87433001","Pulmonary emphysema (disorder)","COPD"
"89549007","Catarrhal bronchitis (disorder)","COPD"
"233673002","Drug-induced bronchiolitis obliterans (disorder)","COPD"
"10692761000119107","Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder)","COPD"
"16003001","Giant bullous emphysema (disorder)","COPD"
"195953005","Mixed simple and mucopurulent chronic bronchitis (disorder)","COPD"
"195957006","Chronic bullous emphysema (disorder)","COPD"
"195958001","Segmental bullous emphysema (disorder)","COPD"
"195963002","Acute vesicular emphysema (disorder)","COPD"
"233675009","Toxic emphysema (disorder)","COPD"
"233677001","Scar emphysema (disorder)","COPD"
"313296004","Mild chronic obstructive pulmonary disease (disorder)","COPD"
"313299006","Severe chronic obstructive pulmonary disease (disorder)","COPD"
"49691004","Occupational bronchitis (disorder)","COPD"
"4981000","Panacinar emphysema (disorder)","COPD"
"52571006","Chronic tracheobronchitis (disorder)","COPD"
"63480004","Chronic bronchitis (disorder)","COPD"
"66987001","Congenital lobar emphysema (disorder)","COPD"
"84409004","Fetid chronic bronchitis (disorder)","COPD"
"866901000000103","Eosinophilic bronchitis (disorder)","COPD"
