"Code","Description","Name"
"230059006","Occasional cigarette smoker (finding)","Current-smoker"
"230060001","Light cigarette smoker (finding)","Current-smoker"
"225934006","Smokes in bed (finding)","Current-smoker"
"82302008","Pipe smoker (finding)","Current-smoker"
"230063004","Heavy cigarette smoker (finding)","Current-smoker"
"77176002","Smoker (finding)","Current-smoker"
"160606002","Very heavy cigarette smoker (40+ cigs/day) (finding)","Current-smoker"
"230064005","Very heavy cigarette smoker (finding)","Current-smoker"
"56578002","Moderate smoker (20 or less per day) (finding)","Current-smoker"
"56771006","Heavy smoker (over 20 per day) (finding)","Current-smoker"
"230062009","Moderate cigarette smoker (finding)","Current-smoker"
"836001000000109","Waterpipe tobacco consumption (observable entity)","Current-smoker"
"160604004","Moderate cigarette smoker (10-19 cigs/day) (finding)","Current-smoker"
"59978006","Cigar smoker (finding)","Current-smoker"
"230065006","Chain smoker (finding)","Current-smoker"
"394872000","Ready to stop smoking (finding)","Current-smoker"
"160619003","Rolls own cigarettes (finding)","Current-smoker"
"449868002","Smokes tobacco daily (finding)","Current-smoker"
"160603005","Light cigarette smoker (1-9 cigs/day) (finding)","Current-smoker"
"230056004","Cigarette consumption (observable entity)","Current-smoker"
"394873005","Not interested in stopping smoking (finding)","Current-smoker"
"394871007","Thinking about stopping smoking (finding)","Current-smoker"
"428041000124106","Occasional tobacco smoker (finding)","Current-smoker"
"446172000","Failed attempt to stop smoking (finding)","Current-smoker"
"203191000000107","Wants to stop smoking (finding)","Current-smoker"
"160612007","Keeps trying to stop smoking (finding)","Current-smoker"
"160616005","Trying to give up smoking (finding)","Current-smoker"
"266920004","Trivial cigarette smoker (less than one cigarette/day) (finding)","Current-smoker"
"160605003","Heavy cigarette smoker (20-39 cigs/day) (finding)","Current-smoker"
"230057008","Cigar consumption (observable entity)","Current-smoker"
"401159003","Reason for restarting smoking (observable entity)","Current-smoker"
"230058003","Pipe tobacco consumption (observable entity)","Current-smoker"
"308438006","Smoking restarted (finding)","Current-smoker"
"65568007","Cigarette smoker (finding)","Current-smoker"
"160625004","Date ceased smoking (observable entity)","Current-smoker"
"266929003","Smoking started (finding)","Current-smoker"
"401201003","Cigarette pack-years (observable entity)","Current-smoker"
"160613002","Admitted tobacco consumption possibly untrue (finding)","Current-smoker"
"134406006","Smoking reduced (finding)","Current-smoker"
"413173009","Minutes from waking to first tobacco consumption (observable entity)","Current-smoker"
"266918002","Tobacco smoking consumption (observable entity)","Current-smoker"
