"Code","Description","Name"
"266925009","Ex-very heavy cigarette smoker (40+/day) (finding)","Ex-smoker"
"281018007","Ex-cigarette smoker (finding)","Ex-smoker"
"53896009","Tolerant ex-smoker (finding)","Ex-smoker"
"160620009","Ex-pipe smoker (finding)","Ex-smoker"
"160621008","Ex-cigar smoker (finding)","Ex-smoker"
"266922007","Ex-light cigarette smoker (1-9/day) (finding)","Ex-smoker"
"266923002","Ex-moderate cigarette smoker (10-19/day) (finding)","Ex-smoker"
"735128000","Ex-smoker for less than 1 year (finding)","Ex-smoker"
"8517006","Ex-smoker (finding)","Ex-smoker"
"160617001","Stopped smoking (finding)","Ex-smoker"
"230065006","Chain smoker (finding)","Ex-smoker"
"1092071000000100","Ex-heavy smoker (20-39/day) (finding)","Ex-smoker"
"1092111000000100","Ex-light smoker (1-9/day) (finding)","Ex-smoker"
"160625004","Date ceased smoking (observable entity)","Ex-smoker"
"266918002","Tobacco smoking consumption (observable entity)","Ex-smoker"
"1092041000000100","Ex-very heavy smoker (40+/day) (finding)","Ex-smoker"
"1092091000000100","Ex-moderate smoker (10-19/day) (finding)","Ex-smoker"
"266924008","Ex-heavy cigarette smoker (20-39/day) (finding)","Ex-smoker"
"266921000","Ex-trivial cigarette smoker (<1/day) (finding)","Ex-smoker"
"228486009","Time since stopped smoking (observable entity)","Ex-smoker"
"1092131000000100","Ex-trivial smoker (<1/day) (finding)","Ex-smoker"
"492191000000103","Ex roll-up cigarette smoker (finding)","Ex-smoker"
"735112005","Date ceased using moist tobacco (observable entity)","Ex-smoker"
"1092031000000100","Ex-smoker amount unknown (finding)","Ex-smoker"
"360900008","Aggressive ex-smoker (finding)","Ex-smoker"
"266928006","Ex-cigarette smoker amount unknown (finding)","Ex-smoker"
"48031000119106","Ex-smoker for more than 1 year (finding)","Ex-smoker"
"230058003","Pipe tobacco consumption (observable entity)","Ex-smoker"
"360890004","Intolerant ex-smoker (finding)","Ex-smoker"
