"Code","Description","Name"
"275514001","Impaired left ventricular function","HF"
"134440006","Referral to heart failure clinic","HF"
"195112003","Compensated cardiac failure","HF"
"92506005","Biventricular congestive heart failure","HF"
"71892000","Cardiac asthma","HF"
"84114007","Heart failure","HF"
"420300004","New York Heart Association Classification - Class I (finding)","HF"
"430396006","Chronic systolic dysfunction of left ventricle (disorder)","HF"
"194767001","Benign hypertensive heart disease with congestive cardiac failure","HF"
"83105008","Malignant hypertensive heart disease with congestive heart failure","HF"
"426611007","Congestive heart failure due to valvular disease (disorder)","HF"
"426263006","Congestive heart failure due to left ventricular systolic dysfunction (disorder)","HF"
"194781004","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","HF"
"367363000","Right ventricular failure","HF"
"42343007","Congestive heart failure","HF"
"79955004","Chronic cor pulmonale","HF"
"128404006","Right heart failure","HF"
"134401001","Left ventricular systolic dysfunction","HF"
"48447003","Chronic heart failure (disorder)","HF"
"717491000000102","Excepted from heart failure quality indicators - informed dissent (finding)","HF"
"88805009","Chronic congestive heart failure","HF"
"87837008","Chronic pulmonary heart disease","HF"
"195114002","Acute left ventricular failure","HF"
"10335000","Chronic right-sided heart failure (disorder)","HF"
"314206003","Refractory heart failure (disorder)","HF"
"407596008","Echocardiogram shows left ventricular systolic dysfunction (finding)","HF"
"420913000","New York Heart Association Classification - Class III (finding)","HF"
"422293003","New York Heart Association Classification - Class IV (finding)","HF"
"698592004","Asymptomatic left ventricular systolic dysfunction (disorder)","HF"
"56675007","Acute heart failure","HF"
"85232009","Left heart failure","HF"
"10633002","Acute congestive heart failure","HF"
"195111005","Decompensated cardiac failure","HF"
"43736008","Rheumatic left ventricular failure","HF"
"703272007","Heart failure with reduced ejection fraction (disorder)","HF"
"446221000","Heart failure with normal ejection fraction (disorder)","HF"
"233924009","Heart failure as a complication of care (disorder)","HF"
"206586007","Congenital cardiac failure","HF"
"194779001","Hypertensive heart and renal disease with (congestive) heart failure","HF"
"421704003","New York Heart Association Classification - Class II (finding)","HF"
"760361000000100","Fast track heart failure referral for transthoracic two dimensional echocardiogram","HF"
