"Code","Description","Name"
"315025001","Refractory angina (disorder)","angina"
"414795007","Myocardial ischemia (disorder)","angina"
"225566008","Ischemic chest pain (finding)","angina"
"10971000087107","Myocardial ischemia during surgery (disorder)","angina"
"300995000","Exercise-induced angina (disorder)","angina"
"414545008","Ischemic heart disease (disorder)","angina"
"371810009","Recurrent angina status post coronary artery bypass graft (disorder)","angina"
"371812001","Recurrent angina status post directional coronary atherectomy (disorder)","angina"
"15960381000119109","Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder)","angina"
"15960061000119102","Unstable angina co-occurrent and due to coronary arteriosclerosis (disorder)","angina"
"15960141000119102","Angina co-occurrent and due to coronary arteriosclerosis (disorder)","angina"
"712866001","Resting ischemia co-occurrent and due to ischemic heart disease (disorder)","angina"
"194828000","Angina (disorder)","angina"
"697976003","Microvascular ischemia of myocardium (disorder)","angina"
"4557003","Preinfarction syndrome (disorder)","angina"
"371806006","Progressive angina (disorder)","angina"
"15960581000119102","Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft (disorder)","angina"
"59021001","Angina decubitus (disorder)","angina"
"41334000","Angina, class II (disorder)","angina"
"19057007","Status anginosus (disorder)","angina"
"703214003","Silent coronary vasospastic disease (disorder)","angina"
"413838009","Chronic ischemic heart disease (disorder)","angina"
"413439005","Acute ischemic heart disease (disorder)","angina"
"25106000","Impending infarction (disorder)","angina"
"314116003","Post infarct angina (disorder)","angina"
"371809004","Recurrent angina status post coronary stent placement (disorder)","angina"
"394659003","Acute coronary syndrome (disorder)","angina"
"35928006","Nocturnal angina (disorder)","angina"
"429559004","Typical angina (disorder)","angina"
"233819005","Stable angina (disorder)","angina"
"46109009","Subendocardial ischemia (disorder)","angina"
"713405002","Subacute ischemic heart disease (disorder)","angina"
"21470009","Syncope anginosa (disorder)","angina"
"85284003","Angina, class III (disorder)","angina"
"233821000","New onset angina (disorder)","angina"
"87343002","Prinzmetal angina (disorder)","angina"
"89323001","Angina, class IV (disorder)","angina"
"371807002","Atypical angina (disorder)","angina"
"61490001","Angina, class I (disorder)","angina"
"194823009","Acute coronary insufficiency (disorder)","angina"
"413844008","Chronic myocardial ischemia (disorder)","angina"
"233823002","Silent myocardial ischemia (disorder)","angina"
"413444003","Acute myocardial ischemia (disorder)","angina"
"791000119109","Angina associated with type II diabetes mellitus (disorder)","angina"
"371811008","Recurrent angina status post rotational atherectomy (disorder)","angina"
"15960661000119107","Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder)","angina"
"371808007","Recurrent angina status post percutaneous transluminal coronary angioplasty (disorder)","angina"
