"Code","Description","Name"
"109264009","Overlapping malignant neoplasm of skin","cancer"
"109267002","Overlapping malignant melanoma of skin","cancer"
"109347009","Overlapping malignant neoplasm of bone and articular cartilage","cancer"
"109358000","Overlapping malignant neoplasm of ill-defined site","cancer"
"109367000","Overlapping malignant neoplasm of nasopharynx","cancer"
"109369002","Overlapping malignant neoplasm of larynx","cancer"
"109371002","Overlapping malignant neoplasm of bronchus and lung","cancer"
"109378008","Mesothelioma (malignant)(clinical)","cancer"
"109383000","Mesothelioma of pericardium","cancer"
"109384006","Overlapping malignant neoplasm of heart, mediastinum and pleura","cancer"
"109385007","Kaposi's sarcoma (clinical)","cancer"
"109388009","Kaposi's sarcoma of palate","cancer"
"109391009","Kaposi's sarcoma of lymph nodes","cancer"
"109392002","Kaposi's sarcoma of multiple organs","cancer"
"109823006","Overlapping malignant neoplasm of tongue","cancer"
"109830000","Overlapping malignant neoplasm of floor of mouth","cancer"
"109835005","Overlapping malignant neoplasm of esophagus","cancer"
"109836006","Overlapping malignant neoplasm of stomach","cancer"
"109837002","Overlapping malignant neoplasm of small intestine","cancer"
"109841003","Liver cell carcinoma (clinical)","cancer"
"109843000","Hepatoblastoma (clinical)","cancer"
"109844006","Angiosarcoma of liver","cancer"
"109847004","Overlapping malignant neoplasm of biliary tract","cancer"
"109848009","Overlapping malignant neoplasm of pancreas","cancer"
"109853004","Mesothelioma of peritoneum","cancer"
"109874003","Overlapping malignant neoplasm of male genital organs","cancer"
"109875002","Overlapping malignant neoplasm of penis","cancer"
"109876001","Malignant neoplasm of descended testis","cancer"
"109878000","Overlapping malignant neoplasm of female genital organs","cancer"
"109885001","Overlapping malignant neoplasm of vulva","cancer"
"1098961000119105","History of cancer metastatic to lung","cancer"
"109911004","Overlapping malignant neoplasm of brain and other parts of the central nervous system","cancer"
"109912006","Overlapping malignant neoplasm of brain","cancer"
"109919002","Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system","cancer"
"109948008","Overlapping malignant neoplasm of eye and adnexa (primary)","cancer"
"109962001","Diffuse non-Hodgkin's lymphoma","cancer"
"109965004","Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)","cancer"
"109966003","Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)","cancer"
"109969005","Diffuse non-Hodgkin's lymphoma, large cell (clinical)","cancer"
"109975001","T-zone lymphoma (clinical)","cancer"
"109976000","Lymphoepithelioid lymphoma (clinical)","cancer"
"109977009","Peripheral T-cell lymphoma (clinical)","cancer"
"109978004","T-cell lymphoma (clinical)","cancer"
"109979007","B-cell lymphoma (clinical)","cancer"
"109980005","Malignant immunoproliferative disease (clinical)","cancer"
"109988003","True histiocytic lymphoma (clinical)","cancer"
"109989006","Multiple myeloma (clinical)","cancer"
"109991003","Acute myelofibrosis (clinical)","cancer"
"109992005","Vaquez's disease","cancer"
"110002002","Mast cell leukemia (clinical)","cancer"
"110004001","Acute promyelocytic leukaemia (clinical)","cancer"
"110005000","Acute myelomonocytic leukaemia (clinical)","cancer"
"110006004","Prolymphocytic leukemia (clinical)","cancer"
"110013004","Overlapping malignant neoplasm of tonsil","cancer"
"118599009","Hodgkin's disease (clinical)","cancer"
"118600007","Lymphoma (clinical)","cancer"
"118601006","Non-Hodgkin's lymphoma (clinical)","cancer"
