"Code","Description","Name"
"281004","Dementia associated with alcoholism","dementia"
"792004","Jakob-Creutzfeldt disease","dementia"
"12348006","Presenile dementia","dementia"
"13092008","Pick's disease","dementia"
"15662003","Senile dementia","dementia"
"20484008","Prion disease","dementia"
"26929004","Alzheimer's disease","dementia"
"52448006","Dementia","dementia"
"66108005","Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated","dementia"
"67155006","Gerstmann-Straussler-Scheinker syndrome","dementia"
"80098002","Diffuse Lewy body disease","dementia"
"83157008","Fatal familial insomnia","dementia"
"191449005","Uncomplicated senile dementia","dementia"
"191451009","Uncomplicated presenile dementia","dementia"
"191452002","Presenile dementia with delirium","dementia"
"191454001","Presenile dementia with paranoia","dementia"
"191455000","Presenile dementia with depression","dementia"
"191457008","Senile dementia with depressive or paranoid features","dementia"
"191458003","Senile dementia with paranoia","dementia"
"191459006","Senile dementia with depression","dementia"
"191461002","Senile dementia with delirium","dementia"
"191519005","Dementia in conditions EC","dementia"
"230265002","Familial Alzheimer's disease of early onset","dementia"
"230266001","Non-familial Alzheimer's disease of early onset","dementia"
"230267005","Familial Alzheimer's disease of late onset","dementia"
"230268000","Non-familial Alzheimer's disease of late onset","dementia"
"230269008","Focal Alzheimer's disease","dementia"
"230280008","Progressive aphasia in Alzheimer's disease","dementia"
"230284004","Spongiform encephalopathy","dementia"
"230287006","Mixed cortical and subcortical vascular dementia","dementia"
"279982005","Cerebral degeneration presenting primarily with dementia","dementia"
"304603007","New variant of Creutzfeldt-Jakob disease","dementia"
"312991009","Senile dementia of the Lewy body type","dementia"
"416780008","Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)","dementia"
"416975007","Primary degenerative dementia of the Alzheimer type, senile onset (disorder)","dementia"
"425390006","Dementia associated with Parkinson's Disease (disorder)","dementia"
"429458009","Dementia due to Creutzfeldt Jakob disease (disorder)","dementia"
"442344002","Dementia due to Huntington chorea","dementia"
"21921000119103","Dementia due to Pick's disease","dementia"
"22381000119105","Primary degenerative dementia","dementia"
"101421000119107","Dementia due to Parkinson's disease (disorder)","dementia"
"135811000119107","Lewy body dementia with behavioral disturbance (disorder)","dementia"
"230271008","Pick's disease with Pick bodies (disorder)","dementia"
"230283005","Punch drunk syndrome (disorder)","dementia"
"230288001","Semantic dementia (disorder)","dementia"
"230289009","Patchy dementia (disorder)","dementia"
"45864009","Senile degeneration of brain (disorder)","dementia"
"62239001","Parkinson-dementia complex of Guam (disorder)","dementia"
"713060000","Sporadic Creutzfeldt-Jakob disease (disorder)","dementia"
"1089521000000106","Predominantly cortical dementia (disorder)","dementia"
"142001000119106","Depressed mood in Alzheimer's disease (disorder)","dementia"
"191493005","Drug-induced dementia (disorder)","dementia"
"230270009","Frontotemporal dementia (disorder)","dementia"
"230273006","Frontotemporal degeneration (disorder)","dementia"
"230274000","Frontal lobe degeneration with motor neurone disease (disorder)","dementia"
"230282000","Post-traumatic dementia (disorder)","dementia"
"278855005","Frontal lobe degeneration (disorder)","dementia"
"278857002","Dementia of frontal lobe type (disorder)","dementia"
"419261000000107","[X]Dementia in Alzheimer's dis, atypical or mixed type (disorder)","dementia"
"698626001","Dementia associated with multiple sclerosis (disorder)","dementia"
"723390000","Rapidly progressive dementia (disorder)","dementia"
"79341000119107","Mixed dementia (disorder)","dementia"
"9345005","Dialysis dementia (disorder)","dementia"
"1095121000000102","Dementia advance care plan agreed (finding)","dementia"
"956841000000106","Dementia care plan agreed (finding)","dementia"
"956861000000107","Dementia care plan reviewed (situation)","dementia"
"1095111000000108","Review of dementia advance care plan (procedure)","dementia"
"956881000000103","Dementia care plan declined (situation)","dementia"
"956901000000100","Dementia care plan review declined (situation)","dementia"
"959461000000102","Dementia advance care plan review declined (situation)","dementia"
"1095101000000106","Offer of dementia advance care planning review declined (situation)","dementia"
"716991000000108","Dementia monitoring telephone invitation (procedure)","dementia"
"717471000000101","Dementia monitoring second letter (procedure)","dementia"
"1110901000000109","Quality and Outcomes Framework dementia quality indicator-related care invitation (procedure)","dementia"
"711441000000100","Dementia monitoring invitation (procedure)","dementia"
"715821000000107","Dementia monitoring first letter (procedure)","dementia"
"716221000000104","Dementia monitoring verbal invitation (procedure)","dementia"
"716671000000102","Dementia monitoring third letter (procedure)","dementia"
"938551000000108","Dementia medication review (procedure)","dementia"
