"Code","Description","Name"
"429998004","Vascular dementia (disorder)","dementia_vascular"
"56267009","Multi-infarct dementia","dementia_vascular"
"230286002","Subcortical vascular dementia","dementia_vascular"
"230285003","Vascular dementia of acute onset","dementia_vascular"
"191463004","Uncomplicated arteriosclerotic dementia","dementia_vascular"
"191466007","Arteriosclerotic dementia with depression","dementia_vascular"
"191464005","Arteriosclerotic dementia with delirium","dementia_vascular"
"191465006","Arteriosclerotic dementia with paranoia","dementia_vascular"
"16276361000119109","Vascular dementia without behavioral disturbance (disorder)","dementia_vascular"
"10349009","Multi-infarct dementia with delirium (disorder)","dementia_vascular"
"288631000119104","Vascular dementia with behavioral disturbance (disorder)","dementia_vascular"
"723123001","Ischemic vascular dementia (disorder)","dementia_vascular"
