"Code","Description","Name"
"1086661000000108","Reactive depression, prolonged single episode (disorder)","depression"
"1089641000000100","Recurrent depression with current moderate episode (disorder)","depression"
"16264901000119109","Recurrent moderate major depressive disorder co-occurrent with anxiety (disorder)","depression"
"16266831000119100","Moderate major depressive disorder co-occurrent with anxiety single episode (disorder)","depression"
"18818009","Moderate recurrent major depression (disorder)","depression"
"191601008","Single major depressive episode, mild (disorder)","depression"
"191611001","Recurrent major depressive episodes, moderate (disorder)","depression"
"191613003","Recurrent major depressive episodes, severe, with psychosis (disorder)","depression"
"192049004","Prolonged depressive adjustment reaction (disorder)","depression"
"19527009","Single episode of major depression in full remission (disorder)","depression"
"231485007","Post-schizophrenic depression (disorder)","depression"
"231499006","Endogenous depression first episode (disorder)","depression"
"247803002","Seasonal affective disorder (disorder)","depression"
"251000119105","Severe major depression, single episode (disorder)","depression"
"25922000","Major depressive disorder, single episode with postpartum onset (disorder)","depression"
"274948002","Endogenous depression - recurrent (disorder)","depression"
"300706003","Endogenous depression (disorder)","depression"
"310495003","Mild depression (disorder)","depression"
"35489007","Depressive disorder (disorder)","depression"
"357705009","Cotard's syndrome (disorder)","depression"
"36474008","Severe recurrent major depression without psychotic features (disorder)","depression"
"36923009","Major depression, single episode (disorder)","depression"
"397711000000100","[X]Severe depressive episode with psychotic symptoms (disorder)","depression"
"70747007","Major depression single episode, in partial remission (disorder)","depression"
"73867007","Severe major depression with psychotic features (disorder)","depression"
"75084000","Severe major depression without psychotic features (disorder)","depression"
"755321000000106","Single major depressive episode, severe, with psychosis, psychosis in remission (disorder)","depression"
"76441001","Severe major depression, single episode, without psychotic features (disorder)","depression"
"764611000000100","Recurrent major depressive episodes, severe (disorder)","depression"
"764691000000109","Recurrent major depressive episodes, in partial remission (disorder)","depression"
"78667006","Dysthymia (disorder)","depression"
"79298009","Mild major depression, single episode (disorder)","depression"
"832007","Moderate major depression (disorder)","depression"
"83458005","Agitated depression (disorder)","depression"
"87512008","Mild major depression (disorder)","depression"
"1086471000000103","Recurrent reactive depressive episodes, severe, with psychosis (disorder)","depression"
"1089511000000100","Recurrent depression with current severe episode and psychotic features (disorder)","depression"
"1089631000000109","Recurrent depression with current severe episode without psychotic features (disorder)","depression"
"15639000","Moderate major depression, single episode (disorder)","depression"
"16264621000119109","Recurrent mild major depressive disorder co-occurrent with anxiety (disorder)","depression"
"16265951000119109","Mild major depressive disorder co-occurrent with anxiety single episode (disorder)","depression"
"191455000","Presenile dementia with depression (disorder)","depression"
"191459006","Senile dementia with depression (disorder)","depression"
"191604000","Single major depressive episode, severe, with psychosis (disorder)","depression"
"191610000","Recurrent major depressive episodes, mild (disorder)","depression"
"191616006","Recurrent depression (disorder)","depression"
"191659001","Atypical depressive disorder (disorder)","depression"
"191676002","Reactive depressive psychosis (disorder)","depression"
"192080009","Chronic depression (disorder)","depression"
"231500002","Masked depression (disorder)","depression"
"231504006","Mixed anxiety and depressive disorder (disorder)","depression"
"268621008","Recurrent major depressive episodes (disorder)","depression"
"28475009","Severe recurrent major depression with psychotic features (disorder)","depression"
"310496002","Moderate depression (disorder)","depression"
"310497006","Severe depression (disorder)","depression"
"370143000","Major depressive disorder (disorder)","depression"
"397701000000102","[X]Severe depressive episode without psychotic symptoms (disorder)","depression"
"40379007","Mild recurrent major depression (disorder)","depression"
"40568001","Recurrent brief depressive disorder (disorder)","depression"
"430421000000104","[X]Mild depressive episode (disorder)","depression"
"465441000000108","[X]Moderate depressive episode (disorder)","depression"
"698957003","Depressive disorder in remission (disorder)","depression"
"720453001","Moderately severe major depression single episode (disorder)","depression"
"755331000000108","Recurrent major depressive episodes, severe, with psychosis, psychosis in remission (disorder)","depression"
"765176007","Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)","depression"
"84760002","Schizoaffective disorder, depressive type (disorder)","depression"
"87414006","Reactive depression (situational) (disorder)","depression"
