"Code","Description","Name"
"4855003","Diabetic retinopathy","diabetes"
"8801005","Secondary diabetes mellitus","diabetes"
"11530004","Brittle diabetes","diabetes"
"25093002","Diabetic oculopathy","diabetes"
"25412000","Diabetic retinal microaneurysm","diabetes"
"26298008","Diabetic coma with ketoacidosis","diabetes"
"39058009","Diabetic amyotrophy","diabetes"
"43959009","Diabetic cataract","diabetes"
"44054006","Diabetes mellitus type II","diabetes"
"46635009","Insulin dependent diabetes mellitus","diabetes"
"48951005","Bullosis diabeticorum","diabetes"
"49455004","Diabetic polyneuropathy","diabetes"
"50620007","Diabetic autonomic neuropathy","diabetes"
"51002006","Diabetes mellitus associated with pancreatic disease","diabetes"
"59276001","Proliferative diabetic retinopathy","diabetes"
"62260007","Pretibial pigmental patches in diabetes","diabetes"
"73211009","Diabetes mellitus","diabetes"
"74627003","Diabetic complication","diabetes"
"75524006","Malnutrition related diabetes mellitus","diabetes"
"111552007","Diabetes mellitus without complication","diabetes"
"111556005","Diabetic ketoacidosis without coma","diabetes"
"126534007","Diabetic mixed sensory-motor polyneuropathy","diabetes"
"127011001","Diabetic sensory polyneuropathy","diabetes"
"127012008","Lipoatrophic diabetes","diabetes"
"127013003","Diabetic renal disease","diabetes"
"127014009","Diabetic peripheral angiopathy","diabetes"
"134395001","Diabetic retinopathy screening","diabetes"
"170745003","Diabetic on diet only","diabetes"
"170747006","Diabetic on insulin","diabetes"
"170763003","Diabetic - good control","diabetes"
"170766006","Loss of hypoglycemic warning","diabetes"
"190330002","Diabetes mellitus, juvenile type, with hyperosmolar coma","diabetes"
"190331003","Diabetes mellitus, adult onset, with hyperosmolar coma","diabetes"
"190368000","Type I diabetes mellitus with ulcer","diabetes"
"190369008","Type 1 diabetes mellitus with gangrene","diabetes"
"190372001","Type I diabetes mellitus maturity onset","diabetes"
"190388001","Type II diabetes mellitus with multiple complications","diabetes"
"190389009","Type 2 diabetes mellitus with ulcer","diabetes"
"190406000","Malnutrition-related diabetes mellitus with ketoacidosis","diabetes"
"190410002","Malnutrition-related diabetes mellitus with peripheral circulatory complications","diabetes"
"190411003","Malnutrition-related diabetes mellitus with multiple complications","diabetes"
"193141005","Diabetic mononeuritis multiplex","diabetes"
"193183000","Acute painful diabetic neuropathy","diabetes"
"193184006","Chronic painful diabetic neuropathy","diabetes"
"193185007","Asymptomatic diabetic neuropathy","diabetes"
"193349004","Preproliferative diabetic retinopathy","diabetes"
"193350004","Advanced diabetic maculopathy","diabetes"
"193489006","Diabetic iritis","diabetes"
"197605007","Nephrotic syndrome in diabetes mellitus","diabetes"
"199230006","Pre-existing diabetes mellitus, non-insulin-dependent","diabetes"
"199231005","Pre-existing malnutrition-related diabetes mellitus","diabetes"
"200687002","Cellulitis in diabetic foot","diabetes"
"201250006","Ischaemic ulcer diabetic foot","diabetes"
"201251005","Neuropathic diabetic ulcer - foot","diabetes"
"201723002","Diabetic hand syndrome","diabetes"
"201724008","Diabetic Charcot's arthropathy","diabetes"
"230572002","Diabetic neuropathy","diabetes"
"230574001","Diabetic acute painful polyneuropathy","diabetes"
"230575000","Diabetic chronic painful polyneuropathy","diabetes"
"230576004","Diabetic asymmetric polyneuropathy","diabetes"
"230577008","Diabetic mononeuropathy","diabetes"
"230579006","Diabetic thoracic radiculopathy","diabetes"
"232020009","Diabetic maculopathy","diabetes"
"232021008","Proliferative diabetic retinopathy new vessels on disc","diabetes"
"232022001","Proliferative diabetic retinopathy with new vessels elsewhere than on disc","diabetes"
"232023006","Diabetic traction retinal detachment","diabetes"
"236499007","Microalbuminuric diabetic nephropathy","diabetes"
"236500003","Clinical diabetic nephropathy","diabetes"
"237599002","Insulin-treated non-insulin-dependent diabetes mellitus","diabetes"
"237604008","Diabetes mellitus autosomal dominant type II","diabetes"
"237620003","Abnormal metabolic state in diabetes mellitus","diabetes"
"237621004","Diabetic severe hyperglycemia","diabetes"
"237633009","Hypoglycemic state in diabetes","diabetes"
"238981002","Soft tissue complication of diabetes mellitus","diabetes"
"238982009","Diabetic dermopathy","diabetes"
"238983004","Diabetic thick skin syndrome","diabetes"
"238984005","Diabetic rubeosis","diabetes"
"267604001","Myasthenic syndrome due to diabetic amyotrophy","diabetes"
"268519009","Diabetic - poor control","diabetes"
"280137006","Diabetic foot","diabetes"
"290002008","Unstable type I diabetes mellitus","diabetes"
"308105005","O/E - Right diabetic foot at risk","diabetes"
"308106006","O/E - Left diabetic foot at risk","diabetes"
"309426007","Diabetic glomerulopathy","diabetes"
"310505005","Diabetic hyperosmolar non-ketotic state","diabetes"
"311782002","Advanced diabetic retinal disease","diabetes"
"312903003","Mild non proliferative diabetic retinopathy","diabetes"
"312904009","Moderate non proliferative diabetic retinopathy","diabetes"
"312905005","Severe non proliferative diabetic retinopathy","diabetes"
"312906006","Proliferative diabetic retinopathy - non high risk","diabetes"
"312907002","Proliferative diabetic retinopathy - high risk","diabetes"
"312908007","Proliferative diabetic retinopathy - quiescent","diabetes"
"312909004","Proliferative diabetic retinopathy - iris neovascularisation","diabetes"
"312910009","Diabetic vitreous hemorrhage","diabetes"
"312912001","Diabetic macular edema","diabetes"
"313435000","Type I diabetes mellitus without complication","diabetes"
"313436004","Non-insulin-dependent diabetes mellitus without complication","diabetes"
"314010006","Diffuse diabetic maculopathy","diabetes"
"314011005","Focal diabetic maculopathy","diabetes"
"314014002","Ischaemic diabetic maculopathy","diabetes"
"314015001","Mixed diabetic maculopathy","diabetes"
"314537004","Diabetic optic papillopathy","diabetes"
"314771006","Type 1 diabetes mellitus with hypoglycaemic coma","diabetes"
"314893005","Type 1 diabetes mellitus with arthropathy","diabetes"
"314902007","Type II diabetes mellitus with peripheral angiopathy","diabetes"
"314903002","Non-insulin dependent diabetes mellitus with arthropathy","diabetes"
"314904008","Type II diabetes mellitus with neuropathic arthropathy","diabetes"
"361216007","Diabetic femoral mononeuropathy","diabetes"
"371087003","Diabetic foot ulcer (disorder)","diabetes"
"390834004","Non proliferative diabetic retinopathy (disorder)","diabetes"
"390850007","O/E - no right diabetic retinopathy (context-dependent category)","diabetes"
"390853009","O/E - no left diabetic retinopathy (context-dependent category)","diabetes"
"390854003","O/E - diabetic maculopathy present both eyes (context-dependent category)","diabetes"
"390855002","O/E - diabetic maculopathy absent both eyes (context-dependent category)","diabetes"
"395204000","Hyperosmolar non-ketotic state in type 2 diabetes mellitus (disorder)","diabetes"
"398140007","Somogyi phenomenon (disorder)","diabetes"
"399864000","Diabetic macular edema not clinically significant (disorder)","diabetes"
"399865004","Very severe proliferative diabetic retinopathy (disorder)","diabetes"
"399866003","Diabetic retinal venous beading (disorder)","diabetes"
"399870006","Non-high-risk proliferative diabetic retinopathy with no macular edema (disorder)","diabetes"
"399871005","Visually threatening diabetic retinopathy (disorder)","diabetes"
"401110002","Type 1 diabetes mellitus with persistent microalbuminuria (disorder)","diabetes"
"401191002","Diabetic foot examination (regime/therapy)","diabetes"
"408397002","Diabetic foot examination not indicated (context-dependent category)","diabetes"
"408409007","O/E - right eye background diabetic retinopathy (context-dependent category)","diabetes"
"408410002","O/E - left eye background diabetic retinopathy (context-dependent category)","diabetes"
"408411003","O/E - right eye preproliferative diabetic retinopathy (context-dependent category)","diabetes"
"408412005","O/E - left eye preproliferative diabetic retinopathy (context-dependent category)","diabetes"
"408413000","O/E - right eye proliferative diabetic retinopathy (context-dependent category)","diabetes"
"408414006","O/E - left eye proliferative diabetic retinopathy (context-dependent category)","diabetes"
"412752009","Diabetic foot examination declined (context-dependent category)","diabetes"
