"Code","Description","Name"
"1201005","Benign essential hypertension","hypertension"
"5148006","Hypertensive heart disease with congestive heart failure","hypertension"
"10725009","Benign hypertension","hypertension"
"31992008","Secondary hypertension","hypertension"
"36221001","Benign hypertensive heart disease","hypertension"
"36315003","Malignant hypertensive heart disease without congestive heart failure","hypertension"
"38341003","Hypertensive disease","hypertension"
"48146000","Diastolic hypertension","hypertension"
"54225002","Malignant hypertensive heart disease","hypertension"
"56218007","Systolic hypertension","hypertension"
"59621000","Essential hypertension","hypertension"
"64715009","Hypertensive heart disease","hypertension"
"66052004","Benign hypertensive heart AND renal disease","hypertension"
"66610008","Malignant hypertensive heart AND renal disease","hypertension"
"70272006","Malignant hypertension","hypertension"
"73410007","Benign secondary renovascular hypertension","hypertension"
"77970009","Benign hypertensive heart disease without congestive heart failure","hypertension"
"78975002","Malignant essential hypertension","hypertension"
"83105008","Malignant hypertensive heart disease with congestive heart failure","hypertension"
"86234004","Hypertensive heart AND renal disease","hypertension"
"89242004","Malignant secondary hypertension","hypertension"
"123799005","Renovascular hypertension","hypertension"
"169465000","Hypertension induced by oral contraceptive pill","hypertension"
"194767001","Benign hypertensive heart disease with congestive cardiac failure","hypertension"
"194779001","Hypertensive heart and renal disease with (congestive) heart failure","hypertension"
"194780003","Hypertensive heart and renal disease with renal failure","hypertension"
"194781004","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","hypertension"
"194783001","Secondary malignant renovascular hypertension","hypertension"
"194785008","Secondary benign hypertension","hypertension"
"194788005","Hypertension secondary to endocrine disorders","hypertension"
"194791005","Hypertension secondary to drug","hypertension"
"275516004","Cardiomegaly - hypertensive","hypertension"
"371125006","Labile essential hypertension (disorder)","hypertension"
"401047000","Hypertension treatment refused (context-dependent category)","hypertension"
"407567007","Patient on maximal tolerated antihypertensive therapy (finding)","hypertension"
"428163005","Hypertensive left ventricular hypertrophy (disorder)","hypertension"
"443402002","Lifestyle education regarding hypertension (procedure)","hypertension"
"443482000","Hypertensive urgency (disorder)","hypertension"
"706882009","Hypertensive crisis (disorder)","hypertension"
"712832005","Supine hypertension","hypertension"
"762463000","Diastolic hypertension co-occurrent with systolic hypertension (disorder)","hypertension"
"129151000119102","Chronic kidney disease stage 4 due to hypertension","hypertension"
"129171000119106","Chronic kidney disease stage 3 due to hypertension","hypertension"
"132721000119104","Hypertensive emergency","hypertension"
"471521000000108","[X]Hypertensive diseases (disorder)","hypertension"
"843821000000102","Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)","hypertension"
"846371000000103","Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)","hypertension"
"863191000000102","Nocturnal hypertension (disorder)","hypertension"
"908631000000108","Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage (disorder)","hypertension"
"908651000000101","Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) with evidence of end organ damage (disorder)","hypertension"
"843841000000109","Severe hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)","hypertension"
"845891000000103","Hypertension resistant to drug therapy (disorder)","hypertension"
