"Code","Description","Name"
"19057007","Status anginosus (disorder)","unstable_angina"
"712866001","Resting ischemia co-occurrent and due to ischemic heart disease (disorder)","unstable_angina"
"15960061000119102","Unstable angina co-occurrent and due to coronary arteriosclerosis (disorder)","unstable_angina"
"15960661000119107","Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder)","unstable_angina"
"394659003","Acute coronary syndrome (disorder)","unstable_angina"
"35928006","Nocturnal angina (disorder)","unstable_angina"
"315025001","Refractory angina (disorder)","unstable_angina"
"371807002","Atypical angina (disorder)","unstable_angina"
"4557003","Preinfarction syndrome (disorder)","unstable_angina"
"25106000","Impending infarction (disorder)","unstable_angina"
